first_name,name,call_type,call_year,host_institution,project_acronym,snsf_fis,snsf_grants_before,had_snsf_grants_before,Applicant,ApplicantNumber
Dmitry,ABANIN,CoG,2019,Université de Genève,TANQ,Applicant Project funding;2019;188532;Ergodicity breaking and non-equilibrium quantum many-body states||Applicant Project funding;2015;163005;Ergodicity and Localization in Quantum Many-Body Systems,2,TRUE,Abanin Dmitry,663520
Andrea,ABLASSER,StG,2018,Ecole Polytechnique Fédérale de Lausanne,ImAgine,Applicant Project funding;2014;159836;Exploring intracellular DNA sensing mechanisms triggered by Mycobacterium tuberculosis,1,TRUE,Ablasser Andrea,643999
Nicola,ACETO,StG,2015,Universität Basel,HOLDING-HANDS,Applicant SNSF Professorships;2015;163938;Discovery of fundamental mechanisms underlying the development of cancer metastasis||Applicant Project funding;2015;163249;The role of Plakoglobin in signal transduction and cell fate of metastatic cancer cells,2,TRUE,Aceto Nicola,606056
Antoine,ADAMANTIDIS,CoG,2016,Universität Bern,Opto-Sleep,Co-applicant Sinergia;2015;160803;Sleep as a model to understand and manipulate cortical activity in order to promote neuroplasticity and functional recovery after stroke||Applicant Project funding;2014;156156;Optogenetic dissection of hypothalamic regulation of sleep-wake states,2,TRUE,Adamantidis Antoine,643977
Rudolf,AEBERSOLD,AdG,2008,Eidgenössische Technische Hochschule Zürich,PROTEOMICS v3.0,Applicant Project funding;2004;107679;Development and application of a technology and platform for high throughput quantitative plasma proteome profiling,1,TRUE,Aebersold Rudolf,513574
Gabriel,AEPPLI,SyG,2018,Paul Scherrer Institut,HERO,Co-applicant Project funding;2015;166271;Nonlinear Probes of quantum localized systems,1,TRUE,Aeppli Gabriel,128534
Kumar Varoon,AGRAWAL,StG,2018,Ecole Polytechnique Fédérale de Lausanne,UltimateMembranes,Applicant Assistant Professor (AP) Energy Grants;2016;173645;Tunable synthesis of size-selective nanopores in graphene for energy-efficient hydrogen purification and carbon capture,1,TRUE,Agrawal Kumar Varoon,665236
Adriano,AGUZZI,AdG,2009,Universität Zürich,Prions,Applicant Project funding;2008;125927;Understanding peripheral prion pathogenesis||Applicant Sinergia;2008;125073;Dissecting the interplay between immune cells and their stromal niches with innovative transgenetic methods||Applicant Project funding;2005;111917;Understanding peripheral prion pathogenesis||Applicant Project funding;2004;107929;Investigation of the role of the cysteine protease inhibitor Cystatin F in neurodegenerative diseases and assessment of its use as a predictive marker for patient screening in body fluids||Applicant National Research Programmes (NRPs);2003;102445;Characterization of prion strains present in Swiss Creutzfeldt-Jakob disease victims||Applicant Project funding;2000;61918;The role of the immune system in prion pathogenesis,6,TRUE,Aguzzi Adriano,17343
Daniel,AHMED,StG,2019,Eidgenössische Technische Hochschule Zürich,SONOBOTS,NA,0,FALSE,NA,NA
Anastasia,AILAMAKI,CoG,2013,Ecole Polytechnique Fédérale de Lausanne,ViDa,Applicant Project funding;2012;146407;Workload- and hardware-aware transaction processing||Applicant Sinergia;2011;136318;Trustworthy Cloud Storage,2,TRUE,Ailamaki Anastasia,535799
